1,Aller aux toilettes,30
1,Parler en public,24
1,Manger,21
1,Faire du sport,13
1,Se moucher/éternuer,12
2,Parler,37
2,Lancer des objets ,35
2,Vaper/zyn,19
2,Regarder son cell,5
2,Jouer aux cartes,4
3,Cahiers,29
3,Vape,27
3,Téléphone,24
3,Nourriture,13
3,Écouteurs,7
4,Snapchar,37
4,TikTok,31
4,Instagram,25
4,Jeux,5
4,Musique,2
5,Regarder mon téléphone,29
5,Manger,23
5,Se laver,19
5,Aller aux toilettes,16
5,S'habiller,13
6,Barre tendre,37
6,Fruits et légumes,23
6,Biscuits,20
6,Céréales,11
6,Ptit jus,9
7,Soccer,31
7,Volleyball,29
7,Basketball,20
7,Hockey,16
7,Football,4
8,Fin de l'école,36
8,Récompenses,33
8,Voir ses amis,17
8,Pauses,10
8,Sports,4
9,Autobus,42
9,Réveiller trop tard,27
9,Alarme n'a pas sonné,15
9,Traffic,9
9,Pas entendu la cloche,7
10,J'ai oublié,30
10,Pas assez de temps,21
10,Ça ne me tentais pas,19
10,Chien l'a mangé,17
10,Je travaillais,13
